TOAN,NGU VAN,TIENG ANH,LICH SU,DIA LI,GDCD,NAM
4,5.5,,,6.75,7.75,2017
2.4,3.75,,,6,7.5,2017
3.8,6.5,,,,,2017
3.4,5,,,7,8.5,2017
3.6,5.25,3.4,,,,2017
3.8,4.75,,,6.75,8.75,2017
2.4,5,,,5.25,,2017
3.4,2.75,,,4.25,,2017
3.2,5,,,4.5,,2017
2.6,5.5,,,7.25,8.25,2017
1.8,3.5,,,6.25,6.75,2017
5.2,4,3.2,,,,2017
1.8,4.25,,,6.5,8.75,2017
3.6,4.25,,,5,7.75,2017
3.2,5.75,3,,,,2017
3,6,1.6,,,,2017
2.8,3.75,,,3.25,,2017
3.8,4.25,,,7.25,,2017
3.8,4.25,,,2.75,,2017
3.6,2.75,,,4.75,,2017
3,2.75,,,4.25,,2017
2.4,4,,,4,,2017
3.2,4.25,,,5.5,,2017
3.4,3.5,,,3.75,,2017
3.8,1.75,,,3.5,,2017
3.2,5.25,,,6.25,,2017
4.2,4,,,3.5,,2017
4.2,5.25,,,5.25,,2017
2.8,5,,,4.5,,2017
3.2,4.5,,,5.25,,2017
4,2.25,,,4,,2017
4.4,2.25,,,4.75,,2017
3,3.5,,,5.5,7,2017
2.6,6,,,5,6.5,2017
2.4,5,,,5.5,6.5,2017
6.6,4,,,5.25,5,2017
2.4,5.25,,,5,6.25,2017
2.2,5.5,,,6.75,7,2017
2.4,4,,,3.25,4,2017
2.8,6.5,,,5.75,8,2017
1.8,4,,,6,7,2017
2.2,4.75,,,7.25,5.5,2017
3.2,4.75,,,5.25,,2017
4.4,4.5,,,2.75,,2017
3.4,4,,,4.5,,2017
3.4,1.5,,,4,,2017
3.8,4.25,,,5,,2017
4,2.25,,,5.25,,2017
2.4,1.5,,,4.5,4.5,2017
3.4,3.25,,,2.75,,2017
3.2,3.75,,,5,,2017
2.2,4,,,6.5,7.75,2017
3.4,5.25,,,5,,2017
3.4,5.75,,,3.75,4.75,2017
2.8,3.75,,,3.5,,2017
2.8,2.25,,,3.5,7,2017
3,4.75,,,5.75,7.25,2017
3.2,3.5,,,4.25,,2017
4,7.5,2.4,,,,2017
2.2,2,,,5.5,7.25,2017
2.6,3.75,,,4.5,,2017
4.6,6,,,6.5,8.5,2017
3,2.5,,,4.25,7,2017
2.2,4.5,,,3.5,5.5,2017
2.8,4,3.2,,,,2017
1.8,2.5,,,5.5,7.5,2017
1.8,6.5,3,,,,2017
1.8,3,,,4.5,8.25,2017
2.8,4.75,,,4.5,5.5,2017
3,6.75,,,6.25,7.5,2017
3.2,5.75,,,5,6.5,2017
1.6,5.75,,,6.5,6.5,2017
3.8,6,4.4,,,,2017
4.2,4.5,,,7,7.75,2017
3.2,5.5,,,3.75,6.75,2017
2.6,,3.2,,,,2017
8.2,,8.6,,,,2017
3.8,4.75,,,6,7.75,2017
2.8,3,,,4.5,6,2017
2.6,4.25,2.2,,,,2017
3.6,7,,,6.5,9.5,2017
3.8,4.25,2,,,,2017
1.8,4,,,6.25,6.75,2017
4.8,5,,,5,,2017
3.8,3.5,,,3.5,,2017
2.6,4.5,,,5.25,,2017
2.4,2,,,5,5.25,2017
2.6,5.5,,,6,7.5,2017
2.2,6.25,,,5.5,5,2017
